 -D-0.17415785499738595
e-D-0.09745981584587586
t-D-0.07200226393033557
a-D-0.06364936377882076
o-D-0.05903001622738746
h-D-0.05664552515993665
n-D-0.05354210912165109
i-D-0.05028653412356178
s-D-0.04847350962997343
r-D-0.043732817919520446
d-D-0.03486198538194597
l-D-0.03267004329566558
u-D-0.021954326894200602
m-D-0.020023701282365768
f-D-0.01821372344987189
w-D-0.017521957286507836
,-D-0.016745145754878184
c-D-0.016177683364168444
y-D-0.015323834830578658
g-D-0.014976341370889554
b-D-0.012173239069058754
p-D-0.011853513749059234
v-D-0.0072971015110916745
.-D-0.0071249216355242775
k-D-0.005803976432422532
:-D-0.0041456352749733505
"-D-0.002712398848675477
--D-0.0024399402993701418
;-D-0.0024322801229040496
1-D-0.002393456955814535
'-D-0.0018873630242933791
2-D-0.0016731392256223155
j-D-0.001388058794639896
3-D-0.0010812164986969866
?-D-0.0009002448296855515
4-D-0.0008084097595522835
x-D-0.0007973547321523546
!-D-0.0007538310022313745
q-D-0.0006573824167264828
5-D-0.000624217334526696
6-D-0.0005711183840231003
7-D-0.0005248961828470195
8-D-0.0005144504876659843
9-D-0.0005007840364707965
0-D-0.0004857248259181374
z-D-0.0004809372156268296
)-D-0.00015903570913126112
(-D-0.00015851342437220938
_-D-9.714496518362748e-05
}-D-3.386146187852248e-05
*-D-2.4634431135274713e-05
`-D-1.8192919106969665e-05
[-D-1.1403217239296775e-05
]-D-1.1403217239296775e-05
&-D-7.39903408656661e-06
/-D-2.0020915763650824e-06
$-D-1.0445695181035213e-06
%-D-2.611423795258803e-07
>-D-2.611423795258803e-07
@-D-2.611423795258803e-07
<-D-1.7409491968392023e-07
+-D-8.704745984196012e-08
=-D-8.704745984196012e-08
~-D-8.704745984196012e-08
